"id","subdistrict_id","postcode"
"3","1","83117"
"1","1","83121"
"2","1","83127"
"5","2","83112"
"8","2","83113"
"4","2","83114"
"7","2","83118"
"6","2","83511"
"10","3","83238"
"9","3","83239"
"14","4","83122"
"13","4","83123"
"15","4","83124"
"11","4","83125"
"12","4","83126"
"17","5","83115"
"16","5","83116"
"21","6","83232"
"19","6","83233"
"20","6","83236"
"18","6","83237"
"22","7","84119"
"25","8","84111"
"24","8","84116"
"26","8","84117"
"27","8","84118"
"23","8","84119"
"29","9","84114"
"28","9","84119"
"32","10","84113"
"31","10","84115"
"30","10","84119"
"34","11","84111"
"36","11","84112"
"35","11","84115"
"33","11","84119"
"37","12","84211"
"40","12","84212"
"38","12","84213"
"42","12","84214"
"41","12","84217"
"39","12","84219"
"43","13","84271"
"44","14","84261"
"45","15","84252"
"46","16","84272"
"47","17","84261"
"51","18","84216"
"49","18","84218"
"50","18","84219"
"48","18","84251"
"52","19","84253"
"53","20","83511"
"60","20","83512"
"54","20","83514"
"56","20","83515"
"57","20","83516"
"61","20","83518"
"58","20","83519"
"59","20","83521"
"55","20","83522"
"62","21","83552"
"63","22","83554"
"64","23","83561"
"65","24","83553"
"66","25","83572"
"67","26","83581"
"68","27","83562"
"69","28","83573"
"70","29","83552"
"71","30","83571"
"74","31","83513"
"73","31","83523"
"72","31","83582"
"79","32","83611"
"80","32","83612"
"77","32","83613"
"76","32","83617"
"75","32","83618"
"78","32","83619"
"81","33","83653"
"82","34","83672"
"83","35","83661"
"84","36","83654"
"85","37","83671"
"86","38","83656"
"87","39","83662"
"88","40","83652"
"89","41","83663"
"90","42","83672"
"91","43","83663"
"92","44","83661"
"93","45","83671"
"94","46","83671"
"95","47","83656"
"96","48","83654"
"97","49","83652"
"98","50","83653"
"99","51","83614"
"100","51","83615"
"102","51","83616"
"101","51","83617"
"103","52","84353"
"104","53","84361"
"105","54","84384"
"106","55","84382"
"107","56","84373"
"108","57","84381"
"109","58","84371"
"110","59","84383"
"111","60","84372"
"112","61","84352"
"113","62","84353"
"114","63","84383"
"115","64","84316"
"122","65","84311"
"119","65","84312"
"118","65","84313"
"116","65","84314"
"120","65","84315"
"121","65","84316"
"123","65","84317"
"117","65","84318"
"124","66","84352"
"125","67","84316"
"126","68","84384"
"127","69","84373"
"128","70","84381"
"129","71","84383"
"130","72","84382"
"131","73","84372"
"132","74","84372"
"133","75","84353"
"134","76","83363"
"135","77","83354"
"136","78","83353"
"137","79","83362"
"138","80","83361"
"139","81","83371"
"140","82","83365"
"141","83","83352"
"142","84","83355"
"143","85","83351"
"144","86","83353"
"145","87","83362"
"146","88","83364"
"147","89","83371"
"148","90","83352"
"149","91","84455"
"150","92","84456"
"151","93","84454"
"152","94","84457"
"153","95","84458"
"154","96","84454"
"155","97","84456"
"156","98","84455"
"157","99","84171"
"158","100","84153"
"159","101","84173"
"160","102","84161"
"161","103","84162"
"162","104","84182"
"163","105","84181"
"164","106","84111"
"165","107","84172"
"166","108","84191"
"167","109","84182"
"168","110","84191"
"169","111","84181"
"170","112","84152"
"171","113","84162"
"172","114","84172"
"173","115","84173"
"174","116","84181"
"179","117","97111"
"181","117","97112"
"180","117","97113"
"178","117","97114"
"182","117","97115"
"176","117","97116"
"175","117","97117"
"177","117","97118"
"188","118","97121"
"184","118","97122"
"189","118","97123"
"191","118","97124"
"185","118","97125"
"187","118","97126"
"183","118","97127"
"186","118","97128"
"190","118","97129"
"192","119","97231"
"193","119","97232"
"194","119","97233"
"196","120","97233"
"195","120","97234"
"198","120","97235"
"197","120","97236"
"199","120","97237"
"200","121","97129"
"201","121","97237"
"205","122","97511"
"206","122","97512"
"202","122","97513"
"203","122","97514"
"204","122","97515"
"207","123","97593"
"208","124","97581"
"209","125","97591"
"210","126","97582"
"211","127","97557"
"212","128","97553"
"213","129","97558"
"214","130","97516"
"215","131","97511"
"216","132","97592"
"217","133","97516"
"218","134","97557"
"219","135","97581"
"220","136","97592"
"221","137","97557"
"222","138","97557"
"223","139","97553"
"224","140","97661"
"225","141","97661"
"226","142","97661"
"227","143","97611"
"228","144","97652"
"229","145","97615"
