"id","state","city","subdistrict","jne_code","sicepat_origin_code","sicepat_destination_code","anteraja_code","jet_code","is_active"
"1","Nusa Tenggara Barat (NTB)","Kota Mataram","Mataram","AMI10000",NULL,"LOP10000","52.71.02",NULL,"1"
"2","Nusa Tenggara Barat (NTB)","Kota Mataram","Ampenan","AMI10011",NULL,"LOP10011","52.71.01",NULL,"1"
"3","Nusa Tenggara Barat (NTB)","Kota Mataram","Cakranegara","AMI10012",NULL,"LOP10012","52.71.03",NULL,"1"
"4","Nusa Tenggara Barat (NTB)","Kota Mataram","Selaparang (Selaprang)","AMI10012",NULL,"LOP10013","52.71.05",NULL,"1"
"5","Nusa Tenggara Barat (NTB)","Kota Mataram","Sekarbela","AMI10012",NULL,"LOP10014","52.71.04",NULL,"1"
"6","Nusa Tenggara Barat (NTB)","Kota Mataram","Sandubaya (Sandujaya)","AMI10012",NULL,"LOP10015","52.71.06",NULL,"1"
"7","Nusa Tenggara Barat (NTB)","Kota Bima ","Asakota","AMI20111",NULL,"LOP20111",NULL,NULL,"1"
"8","Nusa Tenggara Barat (NTB)","Kota Bima ","Rasanae Barat","AMI20112",NULL,"LOP20112",NULL,NULL,"1"
"9","Nusa Tenggara Barat (NTB)","Kota Bima ","Rasanae Timur","AMI20113",NULL,"LOP20113",NULL,NULL,"1"
"10","Nusa Tenggara Barat (NTB)","Kota Bima ","Raba","AMI20114",NULL,"LOP20114",NULL,NULL,"1"
"11","Nusa Tenggara Barat (NTB)","Kota Bima ","Mpunda","AMI20115",NULL,"LOP20115",NULL,NULL,"1"
"12","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Dompu","AMI20200",NULL,"LOP20200",NULL,NULL,"1"
"13","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Hu'u","AMI20201",NULL,"LOP20201",NULL,NULL,"1"
"14","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Kempo","AMI20202",NULL,"LOP20202",NULL,NULL,"1"
"15","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Kilo","AMI20203",NULL,"LOP20203",NULL,NULL,"1"
"16","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Pajo","AMI20204",NULL,"LOP20204",NULL,NULL,"1"
"17","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Pekat","AMI20205",NULL,"LOP20205",NULL,NULL,"1"
"18","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Woja","AMI20206",NULL,"LOP20206",NULL,NULL,"1"
"19","Nusa Tenggara Barat (NTB)","Kab. Dompu ","Manggalewa","AMI20207",NULL,"LOP20207",NULL,NULL,"1"
"20","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Praya","AMI20300",NULL,"LOP20300",NULL,NULL,"1"
"21","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Batukliang","AMI20301",NULL,"LOP20301",NULL,NULL,"1"
"22","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Janapria","AMI20302",NULL,"LOP20302",NULL,NULL,"1"
"23","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Jonggat","AMI20303",NULL,"LOP20303",NULL,NULL,"1"
"24","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Kopang","AMI20304",NULL,"LOP20304",NULL,NULL,"1"
"25","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Praya Barat","AMI20305",NULL,"LOP20305",NULL,NULL,"1"
"26","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Praya Timur","AMI20306",NULL,"LOP20306",NULL,NULL,"1"
"27","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Pringgarata","AMI20307",NULL,"LOP20307",NULL,NULL,"1"
"28","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Pujut","AMI20308",NULL,"LOP20308",NULL,NULL,"1"
"29","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Batukliang Utara","AMI20310",NULL,"LOP20310",NULL,NULL,"1"
"30","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Praya Barat Daya","AMI20311",NULL,"LOP20311",NULL,NULL,"1"
"31","Nusa Tenggara Barat (NTB)","Kab. Lombok Tengah ","Praya Tengah","AMI20312",NULL,"LOP20312",NULL,NULL,"1"
"32","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Selong","AMI20400",NULL,"LOP20400","52.03.07",NULL,"1"
"33","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Aikmel","AMI20401",NULL,"LOP20401",NULL,NULL,"1"
"34","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Keruak","AMI20402",NULL,"LOP20402",NULL,NULL,"1"
"35","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Masbagik","AMI20403",NULL,"LOP20403","52.03.05",NULL,"1"
"36","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Pringgabaya","AMI20404",NULL,"LOP20404",NULL,NULL,"1"
"37","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sakra","AMI20405",NULL,"LOP20405","52.03.02",NULL,"1"
"38","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sambalia (Sambelia)","AMI20406",NULL,"LOP20406",NULL,NULL,"1"
"39","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sikur","AMI20407",NULL,"LOP20407",NULL,NULL,"1"
"40","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sukamulia","AMI20408",NULL,"LOP20408","52.03.06",NULL,"1"
"41","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Terara","AMI20409",NULL,"LOP20409","52.03.03",NULL,"1"
"42","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Jerowaru","AMI20411",NULL,"LOP20411",NULL,NULL,"1"
"43","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Montong Gading","AMI20413",NULL,"LOP20413",NULL,NULL,"1"
"44","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Pringgasela","AMI20414",NULL,"LOP20414","52.03.12",NULL,"1"
"45","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sakra Barat","AMI20415",NULL,"LOP20415",NULL,NULL,"1"
"46","Nusa Tenggara Barat (NTB)","Kab. Lombok Timur ","Sakra Timur","AMI20416",NULL,"LOP20416",NULL,NULL,"1"
